uniform, manhattan, variable, 501.0, 0.8556290585367949
uniform, manhattan, variable, 521.0, 0.8540551694662615
uniform, manhattan, variable, 541.0, 0.8489366824059392
triangular, euclidean, variable, 1.0, 0.9756328792947024
triangular, euclidean, variable, 21.0, 0.9638924581509036
triangular, euclidean, variable, 41.0, 0.9553098048888856
triangular, euclidean, variable, 61.0, 0.9487651368370056
triangular, euclidean, variable, 81.0, 0.9421674966181502
triangular, euclidean, variable, 101.0, 0.9333006793463559
triangular, euclidean, variable, 121.0, 0.9214029415779381
triangular, euclidean, variable, 141.0, 0.917561993817179
triangular, euclidean, variable, 161.0, 0.9100669148935957
triangular, euclidean, variable, 181.0, 0.9016393201146966
triangular, euclidean, variable, 201.0, 0.8960500024530555
triangular, euclidean, variable, 221.0, 0.891758943309099
triangular, euclidean, variable, 241.0, 0.8885605304846846
triangular, euclidean, variable, 261.0, 0.8861980527337662
triangular, euclidean, variable, 281.0, 0.8845025325714767
triangular, euclidean, variable, 301.0, 0.8833921075613435
triangular, euclidean, variable, 321.0, 0.8821385730712766
triangular, euclidean, variable, 341.0, 0.8814778111993097
triangular, euclidean, variable, 361.0, 0.880775936033514
triangular, euclidean, variable, 381.0, 0.8793421416073023
triangular, euclidean, variable, 401.0, 0.8794886543671123
triangular, euclidean, variable, 421.0, 0.878448021205028
triangular, euclidean, variable, 441.0, 0.8774252231593549
triangular, euclidean, variable, 461.0, 0.8747720773812315
triangular, euclidean, variable, 481.0, 0.8739144175711349
triangular, euclidean, variable, 501.0, 0.871357978598334
triangular, euclidean, variable, 521.0, 0.8695855261628866
triangular, euclidean, variable, 541.0, 0.8653012425222507
triangular, chebyshev, variable, 1.0, 0.9682733616035923
triangular, chebyshev, variable, 21.0, 0.9622439819903215
triangular, chebyshev, variable, 41.0, 0.9495974574272876
triangular, chebyshev, variable, 61.0, 0.9406522289986098
triangular, chebyshev, variable, 81.0, 0.9317144580345416
triangular, chebyshev, variable, 101.0, 0.919092180539249
triangular, chebyshev, variable, 121.0, 0.9150180719012942
triangular, chebyshev, variable, 141.0, 0.9035895047086924
triangular, chebyshev, variable, 161.0, 0.8956730258744106
triangular, chebyshev, variable, 181.0, 0.888895476688279
triangular, chebyshev, variable, 201.0, 0.8855733736039048
triangular, chebyshev, variable, 221.0, 0.8823549127665731
triangular, chebyshev, variable, 241.0, 0.8805611994968141
triangular, chebyshev, variable, 261.0, 0.8782837457466983
triangular, chebyshev, variable, 281.0, 0.8737766724189506
triangular, chebyshev, variable, 301.0, 0.8699265338854387
triangular, chebyshev, variable, 321.0, 0.863720199218298
triangular, chebyshev, variable, 341.0, 0.8577662256921156
triangular, chebyshev, variable, 361.0, 0.8542514358356198
triangular, chebyshev, variable, 381.0, 0.8504495690822805
triangular, chebyshev, variable, 401.0, 0.8445535365214967
triangular, chebyshev, variable, 421.0, 0.8412435753302975
triangular, chebyshev, variable, 441.0, 0.8374631454511436
triangular, chebyshev, variable, 461.0, 0.8337896740710375
triangular, chebyshev, variable, 481.0, 0.8321689937547017
triangular, chebyshev, variable, 501.0, 0.8296257945585662
triangular, chebyshev, variable, 521.0, 0.8281589356680343
triangular, chebyshev, variable, 541.0, 0.8271625647422223
triangular, manhattan, variable, 1.0, 0.9758322555187351
triangular, manhattan, variable, 21.0, 0.9668313117433053
triangular, manhattan, variable, 41.0, 0.9591929201500919
triangular, manhattan, variable, 61.0, 0.9508171263102877
triangular, manhattan, variable, 81.0, 0.947042401486367
triangular, manhattan, variable, 101.0, 0.9378546531871642
triangular, manhattan, variable, 121.0, 0.9287066526580379
triangular, manhattan, variable, 141.0, 0.9185821287840827
triangular, manhattan, variable, 161.0, 0.9147060880679172
triangular, manhattan, variable, 181.0, 0.9098802215586299
triangular, manhattan, variable, 201.0, 0.9035034327584822
triangular, manhattan, variable, 221.0, 0.9005723609439275
triangular, manhattan, variable, 241.0, 0.8980722692177739
triangular, manhattan, variable, 261.0, 0.8965382359234562
triangular, manhattan, variable, 281.0, 0.8956630902562379
triangular, manhattan, variable, 301.0, 0.8948202700836093
triangular, manhattan, variable, 321.0, 0.8950196257851766
triangular, manhattan, variable, 341.0, 0.8955031559916761
triangular, manhattan, variable, 361.0, 0.8947896618957949
triangular, manhattan, variable, 381.0, 0.8932175575619278
triangular, manhattan, variable, 401.0, 0.8928711836705447
triangular, manhattan, variable, 421.0, 0.891993295556577
triangular, manhattan, variable, 441.0, 0.8912922522544895
triangular, manhattan, variable, 461.0, 0.8899804428440272
triangular, manhattan, variable, 481.0, 0.8891570492971197
triangular, manhattan, variable, 501.0, 0.8881847112234537
triangular, manhattan, variable, 521.0, 0.8880470351294101
triangular, manhattan, variable, 541.0, 0.8879899862836592
epanechnikov, euclidean, variable, 1.0, 0.9756328792947024
epanechnikov, euclidean, variable, 21.0, 0.9617102623359858
epanechnikov, euclidean, variable, 41.0, 0.9472416387393148
epanechnikov, euclidean, variable, 61.0, 0.9416218499121022
epanechnikov, euclidean, variable, 81.0, 0.9286716723208736
epanechnikov, euclidean, variable, 101.0, 0.9215686106082397
epanechnikov, euclidean, variable, 121.0, 0.9140846828291357
epanechnikov, euclidean, variable, 141.0, 0.9011846475967824
epanechnikov, euclidean, variable, 161.0, 0.8949892575693891
epanechnikov, euclidean, variable, 181.0, 0.8892194208246269
epanechnikov, euclidean, variable, 201.0, 0.886243561609558
epanechnikov, euclidean, variable, 221.0, 0.8835081809516935
epanechnikov, euclidean, variable, 241.0, 0.8813475328231652
epanechnikov, euclidean, variable, 261.0, 0.8791595819267128
epanechnikov, euclidean, variable, 281.0, 0.8770396146195838
epanechnikov, euclidean, variable, 301.0, 0.8763807180920413
epanechnikov, euclidean, variable, 321.0, 0.875007575192574
epanechnikov, euclidean, variable, 341.0, 0.873006913855476
epanechnikov, euclidean, variable, 361.0, 0.8683065792423743
epanechnikov, euclidean, variable, 381.0, 0.8655502674998714
epanechnikov, euclidean, variable, 401.0, 0.8637831823670734
epanechnikov, euclidean, variable, 421.0, 0.8609146153557734
epanechnikov, euclidean, variable, 441.0, 0.8584320987515873
epanechnikov, euclidean, variable, 461.0, 0.8571991083278654
epanechnikov, euclidean, variable, 481.0, 0.8553483237442943
epanechnikov, euclidean, variable, 501.0, 0.8537536898262074
epanechnikov, euclidean, variable, 521.0, 0.8511516334961516
epanechnikov, euclidean, variable, 541.0, 0.8493272913489447
epanechnikov, chebyshev, variable, 1.0, 0.9682733616035923
epanechnikov, chebyshev, variable, 21.0, 0.9600435683069001
epanechnikov, chebyshev, variable, 41.0, 0.9437327583754571
epanechnikov, chebyshev, variable, 61.0, 0.9297311401477448
epanechnikov, chebyshev, variable, 81.0, 0.9180827379662234
epanechnikov, chebyshev, variable, 101.0, 0.9080494443821624
epanechnikov, chebyshev, variable, 121.0, 0.8947854292803848
epanechnikov, chebyshev, variable, 141.0, 0.8864970354774968
epanechnikov, chebyshev, variable, 161.0, 0.8835232844488776
epanechnikov, chebyshev, variable, 181.0, 0.8787551156984741
epanechnikov, chebyshev, variable, 201.0, 0.8753642467196243
epanechnikov, chebyshev, variable, 221.0, 0.8715473210154494
epanechnikov, chebyshev, variable, 241.0, 0.8680920103250706
epanechnikov, chebyshev, variable, 261.0, 0.8586408768602632
epanechnikov, chebyshev, variable, 281.0, 0.8509380014550229
epanechnikov, chebyshev, variable, 301.0, 0.8466592256738324
epanechnikov, chebyshev, variable, 321.0, 0.8411941997902258
epanechnikov, chebyshev, variable, 341.0, 0.83475010324617
epanechnikov, chebyshev, variable, 361.0, 0.830132467569916
epanechnikov, chebyshev, variable, 381.0, 0.8266018508837244
epanechnikov, chebyshev, variable, 401.0, 0.8245131192429994
epanechnikov, chebyshev, variable, 421.0, 0.8235152582898329
epanechnikov, chebyshev, variable, 441.0, 0.8218781738830258
